objectid,title,creator,date,publisher,publication_place,subject,genre,format,filename,source_link,state,title_variant,creator_variant,digital_notes,research_notes,developer_notes,pictures
ct_085,"The New Housekeeper's Manual; Embracing a New Revised Edition of the American Woman's Home; or, Principles of Domestic Science; Being a Guide to Economical, Healthful, Beautiful, and Christian Homes","Catharine Esther Beecher, Harriet Beecher Stowe",1873,J.B. Ford and Company,New York,Domestic Science; Child Rearing; Health; Women's Work & Culture,Advice Literature; Textbook; Cookbook,record,https://hdl.handle.net/2027/uiuc.2059703_001,https://hdl.handle.net/2027/uiuc.2059703_001,Connecticut,The Housekeeper's Manual,H. B. Stowe and C. E. Beecher,,,,
ct_086,The Minister's Wooing,Harriet Beecher Stowe,1859,Derby and Jackson,New York,Region & Regionalism; Nationalism,Novel,record,https://hdl.handle.net/2027/miun.aax3517.0001.001,https://hdl.handle.net/2027/miun.aax3517.0001.001,Connecticut,The Minister's Wooing,Mrs. H. B. Stowe,,,,
ct_087,The Pearl of Orr's Island; A Story of the Coast of Maine,Harriet Beecher Stowe,1862,Ticknor and Fields,Boston,Region & Regionalism; Bildungsroman,Novel,record,http://www.gutenberg.org/ebooks/31522,http://www.gutenberg.org/ebooks/31522,Connecticut,The Pearl of Orr's Island,Mrs. H. B. Stowe,,,,
ct_088,"The Mayflower; and Miscellaneous Writings; or, Sketches of Scenes and Characters Among the Descendants of the Pilgrims",Harriet Beecher Stowe,1843,Harper & Brothers,New York,Region & Regionalism; Nationalism,Stories,record,https://hdl.handle.net/2027/hvd.hn5f1d,https://hdl.handle.net/2027/hvd.hn5f1d,Connecticut,The Mayflower,Mrs. H. B. Stowe,,,,
ct_089,The Reigning Belle,Ann S. (Ann Sophia) Stephens,1885,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/uc2.ark:/13960/t3tt4q52r,https://hdl.handle.net/2027/uc2.ark:/13960/t3tt4q52r,Connecticut,The Reigning Belle ,Ann S. Stephens,,,,
ct_090,"The Old Countess; or, The Two Proposals; A Sequel to ""Lord Hope's Choice""",Ann S. (Ann Sophia) Stephens,1873,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/uc2.ark:/13960/t1hh6dg5t,https://hdl.handle.net/2027/uc2.ark:/13960/t1hh6dg5t,Connecticut,The Old Countess,Ann S. Stephens,,,,
ct_091,The Heiress; An Autobiography,Ann S. (Ann Sophia) Stephens,1857,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022528,https://hdl.handle.net/2027/nyp.33433076022528,Connecticut,The Heiress,Ann S. Stephens,,,,
ct_092,The Wife's Secret,Ann S. (Ann Sophia) Stephens,1864,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/umn.31951002100241w,https://hdl.handle.net/2027/umn.31951002100241w,Connecticut,The Wife's Secret,Ann S. Stephens,,,,
ct_093,The Old Homestead,Ann S. (Ann Sophia) Stephens,1886,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/hvd.32044010334217,https://hdl.handle.net/2027/hvd.32044010334217,Connecticut,The Old Homestead,Ann S. Stephens,,,,
ct_094,The Rejected Wife,Ann S. (Ann Sophia) Stephens,1863,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/hvd.hn1nen,https://hdl.handle.net/2027/hvd.hn1nen,Connecticut,The Rejected Wife,Ann S. Stephens,,,,
ct_095,The Soldier's Orphans,Ann S. (Ann Sophia) Stephens,1866,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/uc2.ark:/13960/t0ns0mt6q,https://hdl.handle.net/2027/uc2.ark:/13960/t0ns0mt6q,Connecticut,The Soldier's Orphan,Ann S. Stephens,,,,
ct_096,"The Winter Fire; A Sequel to ""Summer Drift-Wood""",Rose Porter,1874,Anson D.F. Randolph & Company,New York,Philosophy & Religion; Children's Literature,Novel,record,https://hdl.handle.net/2027/hvd.hxdpbn,https://hdl.handle.net/2027/hvd.hxdpbn,Connecticut,The Winter Fire,Rose Porter,,,,
ct_097,The Years that are Told,Rose Porter,1875,Anson D.F. Randolph & Company,New York,Philosophy & Religion,Novel,record,https://hdl.handle.net/2027/uva.x030805807,https://hdl.handle.net/2027/uva.x030805807,Connecticut,The Years that are Told,Rose Porter,,,,
ct_098,The Theory of Morals,"Mary Chapman (translator), Paul Janet",1883,Charles Scribner's Sons,New York,Translation; Philosophy & Religion,Essays,record,https://hdl.handle.net/2027/hvd.hnauj3,https://hdl.handle.net/2027/hvd.hnauj3,Connecticut,Theory of Morals ,Mary Chapman,,translation from French of La Morale by Paul Janet,,
ct_099,Towhead; The Story of a Girl,Sarah Pratt McLean Greene,1882,"De Wolfe, Fiske & Company",Boston,,Novel,record,https://hdl.handle.net/2027/uc1.31175021429215,https://hdl.handle.net/2027/uc1.31175021429215,Connecticut,Towhead,Sally Pratt McLean,,,,
ct_100,"Uncle Tom's Cabin; or, Life among the Lowly",Harriet Beecher Stowe,1852,John P. Jewett & Company,Boston,Reform; Law; Race; Region & Regionalism; Politics,Novel,record,https://hdl.handle.net/2027/hvd.hwpaa7,https://hdl.handle.net/2027/hvd.hwpaa7,Connecticut,Uncle Tom's Cabin,Mrs. H. B. Stowe,,,,
